Drinking water at  		2020-06-19 18:57:45.618612
Eye Exercise  at  		2020-06-19 18:57:50.304121
Drinking water at  		2020-06-19 18:57:57.009035
Exercise done  at  		2020-06-19 18:58:03.241019
Drinking water at  		2020-06-19 18:58:07.664596
Eye Exercise  at  		2020-06-19 18:58:11.103335
Drinking water at  		2020-06-19 18:58:16.081356
Drinking water at  		2020-06-19 18:58:24.130456
Eye Exercise  at  		2020-06-19 18:58:26.906284
Exercise done  at  		2020-06-19 18:58:29.891070
Drinking water at  		2020-06-19 18:58:32.140645
Drinking water at  		2020-06-19 19:02:48.100439
Eye Exercise  at  		2020-06-19 19:02:57.060639
Exercise done  at  		2020-06-19 19:03:09.292677
Drinking water at  		2020-06-19 19:03:18.434286
Eye Exercise  at  		2020-06-19 19:03:31.207980
Exercise done  at  		2020-06-19 19:04:02.697893
Drinking water at  		2020-06-19 19:07:56.886170
Eye Exercise  at  		2020-06-19 19:08:08.274932
Exercise done  at  		2020-06-19 19:08:16.104906
Drinking water at  		2020-06-19 19:14:26.582237
Eye Exercise  at  		2020-06-19 19:14:35.322331
Exercise done  at  		2020-06-19 19:14:44.517932
Drinking water at  		2020-06-19 19:15:58.341834
Eye Exercise  at  		2020-06-19 19:16:12.058539
Drinking water at  		2020-06-19 19:16:19.684648
Drinking water at  		2020-06-19 19:16:33.695810
Eye Exercise  at  		2020-06-19 19:16:42.521029
Drinking water at  		2020-06-19 19:16:51.323858
Eye Exercise  at  		2020-06-19 19:24:03.797719
